%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1776135953294009856,99,1776135953294009856,base_link,0.023540689233754384,-0.2088995252304747,0.012157120420341509,0.9775781445654191,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0038179077387375,-0.041844268816564,0.001527163095495,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0873380249,0.0131605243,10.085747259,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135953395436288,100,1776135953395436288,base_link,0.023800719525949508,-0.21096853470713686,0.01234173549974589,0.977125112090783,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0047342055960346,-0.041844268816564,0.001832595714594,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0897308475,0.0299102825,10.073783146,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135953496539392,101,1776135953496539392,base_link,0.024034009034427668,-0.21300796409418918,0.012506119732481143,0.9766747517016187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0042760566673861,-0.0413861198879155,0.001527163095495,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0993021378999999,0.0179461695,10.0761759686,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135953598173184,102,1776135953598173184,base_link,0.02428022164735866,-0.21505577672314952,0.012725163179419408,0.9762169604943438,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0042760566673861,-0.0413861198879155,0.0025961772623415,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0945164927,0.0155533468999999,10.0821580251,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135953699992832,103,1776135953699992832,base_link,0.024490921720751214,-0.2171308732026432,0.012880059376200459,0.9757502153348424,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0038179077387375,-0.041844268816564,0.0013744467859455,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.095712904,0.0191425808,10.0809616138,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135953801107712,104,1776135953801107712,base_link,0.02469938024865186,-0.21918238988545635,0.013062825150374536,0.9752837449576012,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003665191429188,-0.0416915525070145,0.0019853120241435,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0969093152999999,0.0107677016999999,10.0773723799,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135953902063872,105,1776135953902063872,base_link,0.02493435208051402,-0.22125217173949568,0.01323819705934675,0.9748079322233172,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0042760566673861,-0.042149701435663,0.0016798794050445,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1040877831,0.0215354033999999,10.085747259,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954003131392,106,1776135954003131392,base_link,0.0251435076441455,-0.22328626380070696,0.01339348102643546,0.9743365245577444,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0038179077387375,-0.0413861198879155,0.0013744467859455,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1064806057,0.0167497582,10.0773723799,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954104272384,107,1776135954104272384,base_link,0.025413015975050128,-0.22533500832507053,0.013563795665898666,0.9738553979361236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0050396382151336,-0.0416915525070145,0.0013744467859455,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0885344362,0.0227318147,10.085747259,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954206077184,108,1776135954206077184,base_link,0.025647617382342246,-0.2273806206268882,0.013763043219776824,0.9733708603236851,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0041233403578366,-0.0413861198879155,0.002138028333693,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.107677017,0.0263210486,10.0845508477,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
